gunshot100% waist100%
18.0 0.6842
18.96 0.6525
17.76 0.6915
9.88 0.726
6.56 0.5152
6.88 0.5713
7.28 0.6186
7.56 0.6798
7.96 0.7356
8.28 0.6955
18.48 0.7016
18.28 0.6986
10.08 0.743
6.6 0.4841
6.92 0.5444
7.28 0.604
7.64 0.6598
7.96 0.7269
17.48 0.683
9.76 0.6926
9.92 0.7149
10.08 0.7147
6.64 0.4677
6.96 0.5308
7.28 0.594
7.64 0.6492
8.04 0.7149
8.4 0.6633
18.04 0.6942
10.04 0.6977
10.2 0.7227
6.68 0.4508
7.12 0.5304
7.36 0.572
7.72 0.6316
8.08 0.6986
9.76 0.653
9.92 0.6679
10.0 0.6678
10.24 0.6817
6.84 0.4648
7.16 0.5362
7.4 0.5587
7.72 0.6173
8.12 0.685
8.56 0.6371
10.04 0.6654
10.2 0.6796
10.32 0.6688
6.92 0.4436
7.2 0.5079
7.56 0.5774
7.76 0.6026
8.08 0.6729
9.96 0.6491
10.04 0.6561
10.24 0.65
10.36 0.6651
6.88 0.4075
7.24 0.4812
7.64 0.5581
7.72 0.5874
8.48 0.6035
8.56 0.5911
10.2 0.645
10.32 0.6307
10.52 0.6615
6.84 0.3627
7.28 0.4826
7.6 0.537
7.92 0.6003
8.16 0.6396
10.2 0.6211
10.2 0.6127
10.36 0.6137
10.52 0.6318
7.0 0.4043
7.24 0.4299
7.6 0.5004
7.96 0.5945
10.0 0.5708
8.6 0.5521
10.28 0.5908
10.48 0.6021
10.64 0.6255
6.96 0.3367
7.4 0.4346
7.6 0.481
7.96 0.5717
8.4 0.5007
8.76 0.5591
10.44 0.5736
10.6 0.5843
10.68 0.6054
7.16 0.3405
7.36 0.3992
7.76 0.4958
8.08 0.4289
8.6 0.5147
10.32 0.5694
10.52 0.5658
10.6 0.5663
10.68 0.5935
7.08 0.2644
7.28 0.335
7.96 0.3944
8.48 0.4497
10.28 0.5116
10.52 0.5119
10.56 0.5203
10.6 0.5588
10.92 0.5574
7.16 0.2631
7.44 0.3431
8.16 0.3653
8.12 0.3534
8.56 0.4608
10.52 0.5099
10.64 0.5395
10.72 0.5431
10.92 0.5573
6.96 0.1756
7.52 0.3564
7.84 0.4272
8.24 0.3904
10.4 0.451
10.48 0.4775
10.64 0.4724
10.92 0.5287
11.0 0.53
7.04 0.183
7.48 0.2864
7.72 0.3664
8.56 0.3847
10.6 0.4624
9.0 0.4842
10.84 0.5188
11.0 0.5086
11.04 0.534
7.2 0.1964
7.52 0.318
7.8 0.4047
8.0 0.2601
8.6 0.394
10.76 0.4357
10.88 0.4601
10.88 0.461
11.08 0.4818
6.8 0.0058
7.24 0.1912
7.64 0.2983
8.16 0.242
8.84 0.3715
10.96 0.4788
11.04 0.4864
11.16 0.5048
11.28 0.5213
6.32 0.6041
6.68 0.6506
7.0 0.6934
7.32 0.739
7.68 0.6951
9.24 0.7231
18.92 0.6582
18.84 0.6994
18.88 0.7294
6.4 0.581
6.72 0.6246
7.04 0.6776
7.44 0.7235
7.8 0.7736
18.28 0.6234
18.08 0.7194
17.96 0.7356
9.72 0.7518
6.44 0.5583
6.8 0.6094
7.16 0.6547
7.48 0.7059
7.88 0.6637
17.6 0.7124
18.92 0.63
18.64 0.7021
18.72 0.7516
6.52 0.5355
6.88 0.5909
7.2 0.6487
7.56 0.7012
16.8 0.655
17.92 0.4805
9.68 0.7258
9.84 0.7407
9.92 0.7319
6.56 0.5156
6.88 0.5658
7.24 0.6171
7.56 0.6771
7.96 0.732
8.32 0.6876
9.64 0.7068
18.28 0.7173
10.12 0.7401
6.64 0.4933
6.92 0.5511
7.28 0.6022
7.64 0.6584
7.96 0.7275
17.56 0.6747
9.76 0.6924
18.92 0.7029
